gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team_kpm
ESPORTSTMNT03/1241318,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,KeSPA,2020,,0,1/3/2020 7:33,1,9.24,1,Blue,top,Summit,SANDBOX Gaming,Rumble,LeBlanc,Irelia,Rek'Sai,Yasuo,Renekton,2220,1,0,3,7,17,11,0,0,0,0,0,0,0,0,0.4595
ESPORTSTMNT03/1241318,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,KeSPA,2020,,0,1/3/2020 7:33,1,9.24,2,Blue,jng,OnFleek,SANDBOX Gaming,Elise,LeBlanc,Irelia,Rek'Sai,Yasuo,Renekton,2220,1,4,0,9,17,11,1,0,0,0,0,0,0,0,0.4595
ESPORTSTMNT03/1241318,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,KeSPA,2020,,0,1/3/2020 7:33,1,9.24,3,Blue,mid,FATE,SANDBOX Gaming,Qiyana,LeBlanc,Irelia,Rek'Sai,Yasuo,Renekton,2220,1,5,2,5,17,11,0,0,0,0,0,0,0,1,0.4595
ESPORTSTMNT03/1241318,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,KeSPA,2020,,0,1/3/2020 7:33,1,9.24,4,Blue,bot,Leo,SANDBOX Gaming,Miss Fortune,LeBlanc,Irelia,Rek'Sai,Yasuo,Renekton,2220,1,7,1,9,17,11,2,0,0,0,0,0,0,0,0.4595
ESPORTSTMNT03/1241318,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,KeSPA,2020,,0,1/3/2020 7:33,1,9.24,5,Blue,sup,GorillA,SANDBOX Gaming,Nautilus,LeBlanc,Irelia,Rek'Sai,Yasuo,Renekton,2220,1,1,5,3,17,11,0,0,0,0,0,0,0,0,0.4595
ESPORTSTMNT03/1241318,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,KeSPA,2020,,0,1/3/2020 7:33,1,9.24,6,Red,top,Canna,T1,Aatrox,Lucian,Akali,Lee Sin,Olaf,Jarvan IV,2220,0,3,4,1,11,17,0,0,0,0,0,0,0,0,0.2973
ESPORTSTMNT03/1241318,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,KeSPA,2020,,0,1/3/2020 7:33,1,9.24,7,Red,jng,Cuzz,T1,Gragas,Lucian,Akali,Lee Sin,Olaf,Jarvan IV,2220,0,1,4,7,11,17,0,0,0,0,1,1,0,0,0.2973
ESPORTSTMNT03/1241318,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,KeSPA,2020,,0,1/3/2020 7:33,1,9.24,8,Red,mid,Faker,T1,Mordekaiser,Lucian,Akali,Lee Sin,Olaf,Jarvan IV,2220,0,3,3,3,11,17,0,0,0,0,1,0,1,0,0.2973
ESPORTSTMNT03/1241318,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,KeSPA,2020,,0,1/3/2020 7:33,1,9.24,9,Red,bot,Teddy,T1,Xayah,Lucian,Akali,Lee Sin,Olaf,Jarvan IV,2220,0,4,3,4,11,17,0,0,0,0,0,0,0,0,0.2973
ESPORTSTMNT03/1241318,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,KeSPA,2020,,0,1/3/2020 7:33,1,9.24,10,Red,sup,Kuri,T1,Rakan,Lucian,Akali,Lee Sin,Olaf,Jarvan IV,2220,0,0,3,10,11,17,0,0,0,0,1,0,1,0,0.2973
ESPORTSTMNT03/1241318,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,KeSPA,2020,,0,1/3/2020 7:33,1,9.24,100,Blue,team,,SANDBOX Gaming,,LeBlanc,Irelia,Rek'Sai,Yasuo,Renekton,2220,1,17,11,33,17,11,3,0,0,0,0,,,,0.4595
